,id,brand,car_model,type,desc,problem,datetime,status
19,573922,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动变速箱异响 无法加速,"B33,B334,",2021-02-23,信息审核
20,573919,东风本田,思铂睿,2013款 2.4L 自动 豪华版,本田思铂睿内饰板脱胶鼓包天窗内部框架生锈,"H79,H168,",2021-02-23,信息审核
21,573918,吉利汽车,远景X6,2016款 1.3T CVT 豪华型,吉利远景X6变速箱故障报警4S店不予索赔,"B96,I297,",2021-02-23,厂家受理
22,573917,一汽-大众,迈腾,2018款 330TSI 领先型,一汽大众迈腾变速器机电单元故障,"B115,",2021-02-23,信息审核
23,573915,长安福特,金牛座,2019款 EcoBoost 245 Vignale臻享版,长安福特金牛座保养时螺丝未拧紧 物品丢失,"I295,J299,",2021-02-23,厂家受理
24,573913,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞导致油耗增高,"A85,A114,",2021-02-23,信息审核
25,573912,北京现代,北京现代ix35,2013款 2.0L 自动 两驱 智能型GLS 国IV,北京现代ix35发动机拉缸冷车时存在异响,"A9,A329,",2021-02-23,信息审核
26,573911,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾韩泰轮胎开裂影响驾驶安全	,"F100,",2021-02-23,信息审核
27,573908,一汽-大众,T-ROC探歌,2018款 280TSI DSG 两驱 进取型 国V,一汽大众T-ROC探歌离合器无法断开,"C65,C267,M283,",2021-02-23,信息审核
28,573905,长安铃木,维特拉,2016款 1.4T 自动 两驱 豪华型,长安铃木维特拉多功能方向盘按键失灵,"H134,",2021-02-23,信息审核
29,573904,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱故障换挡混乱,"B96,B334,",2021-02-23,信息审核
30,573897,BEIJING汽车,E系列,2013款 1.5L 手动 乐天版 三厢,BEIJING汽车E系列离合器处防火墙出现断裂,"C267,H168,",2021-02-23,信息审核
31,573896,长安汽车,逸动XT,2013款 1.5T 自动 劲酷型 XT,长安逸动XT发动机出现油耗增高,"A85,",2021-02-23,信息审核
32,573895,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油要求解决,"A63,",2021-02-23,处理反馈
33,573885,北京越野,北京BJ40,2019款 改款 2.0T 自动 四驱 城市猎人版 尊享型 国V,北京BJ40发动机渗油要求厂家解决,"A12,",2021-02-23,信息审核
34,573884,一汽-大众奥迪,奥迪A3,2016款 Sportback 1.8T 双离合 风尚型,一汽大众奥迪A3变速箱机电单元出现故障,"B84,",2021-02-23,信息审核
35,573883,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯发白影响夜间驾驶,"H82,",2021-02-23,信息审核
36,573879,长城汽车,哈弗H7,2017款 2.0T 豪华型 红标 H7L,哈弗H7变速箱异响严重经销商不解决,"B33,",2021-02-23,厂家受理
37,573878,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 车身抖动明显,"A24,A63,",2021-02-23,处理反馈
38,573876,沃尔沃亚太,沃尔沃S90,2019款 T5 智逸版,亚太沃尔沃S90行驶及怠速时低频噪音大共振,"H268,",2021-02-23,信息审核
39,573875,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯发白不亮影响驾驶安全,"H82,",2021-02-23,处理反馈
40,573874,广汽本田,飞度,2014款 1.5 CVT EX精英型,广汽本田飞度启动困难要求更换起动机,"A44,",2021-02-23,处理反馈
41,573873,吉利汽车,缤越,2019款 260T DCT 游侠 国VI 运动款,吉利缤越发动机故障报警 服务态度差,"A34,I293,",2021-02-23,处理反馈
42,573872,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑新车有补漆痕迹,"M284,",2021-02-23,信息审核
43,573868,腾势汽车,腾势X,2020款 PHEV 旗舰版,滕势X高速时变速箱无法加速存在质量您问题,"B334,",2021-02-23,信息审核
44,573867,上汽通用五菱,宝骏360,2018款 1.5L 手动 豪华型 国V,宝骏360轮眉车门排水孔和发动机舱生锈,"H79,",2021-02-23,处理反馈
45,573866,BEIJING汽车,E系列,2013款 1.5L 手动 乐天版 三厢,BEIJING汽车E系列离合器支座固定点松动,"C166,",2021-02-23,信息审核
46,573864,长安福特,翼虎,2018款 EcoBoost 180 两驱 豪翼型 改款,长安福特翼虎中控模块故障希望尽快处理,"H104,",2021-02-23,处理反馈
47,573862,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408购买延保后车辆出现故障不保修,"I297,L314,",2021-02-23,处理反馈
48,573861,奇瑞汽车,瑞虎3,2015款 1.6L 手动 智尚周年运动版,奇瑞瑞虎3天窗支架断裂4S店不予保修,"H168,I297,",2021-02-23,处理反馈
49,573860,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 豪华型,一汽奔腾T77发动机熄火 方向盘抱死,"A14,D123,H110,",2021-02-23,处理反馈
50,573859,一汽-大众,宝来,2015款 1.6L 手动 时尚型 质惠版,一汽大众宝来车内异味严重影响人员健康,"H185,",2021-02-23,处理反馈
51,573858,江铃汽车,特顺,2019款 2.8T 商运型 长轴 中顶 6座 后单胎 国VI JX493,江铃特顺行驶时跑偏刹车偏软排气管冒白烟,"A114,E269,G117,",2021-02-23,信息审核
52,573857,上汽大众,途观L,2019款 280TSI 自动 两驱 全景舒适版 国V,上汽大众途观L变速箱顿挫异响 发动机异响,"A9,B33,B19,",2021-02-23,处理反馈
53,573855,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电控制单元故障,"B84,",2021-02-23,处理反馈
54,573854,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L空调不制冷 车窗控制器故障,"H101,H72,H67,",2021-02-23,信息审核
55,573851,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器频繁堵塞导致油耗高,"A85,A114,",2021-02-23,处理反馈
56,573847,东风日产,启辰星,2020款 260T 自动 48V轻混增压 星曜版,东风启辰星新车变速箱故障要求赔偿折旧费,"B96,",2021-02-23,信息审核
57,573845,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱故障无法加速,"B96,B334,",2021-02-23,信息审核
58,573843,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油希望厂家召回,"A63,",2021-02-23,处理反馈
59,573838,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动发动机烧机油 变速箱降挡异响,"A63,B33,",2021-02-23,信息审核
60,573837,上汽大通,上汽大通MAXUS G10,2019款 改款 PLUS 2.0T 手动 智享版 国V,上汽大通MAXUS G10维修使用非原厂件,"H79,J299,N319,N321,",2021-02-23,信息审核
61,573836,长城汽车,坦克300,2021款 越野版 2.0T 征服者,长城坦克300经销商欺骗消费者无现车,"L313,",2021-02-23,信息审核
62,573829,雷克萨斯,雷克萨斯UX新能源,2020款 300e 纯·享版,雷克萨斯UX新能源电池容量设计缺陷,"Q322,",2021-02-23,信息审核
63,573827,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞前半轴防尘套漏油,"G51,",2021-02-23,信息审核
64,573824,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳换挡顿挫 发动机异响,"A9,B19,",2021-02-23,处理反馈
65,573821,上汽集团,荣威Ei5,2019款 智联旗舰版,上汽荣威Ei5电池组故障 续航严重降低,"H344,",2021-02-23,信息审核
66,573820,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾空调异响 车机死机 后视镜异响,"H134,H101,H211,",2021-02-23,处理反馈
67,573814,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲享版,东风雪铁龙C4L发动机抖动故障灯亮,"A24,A34,",2021-02-23,处理反馈
68,573811,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机气门损坏要求解决,"A45,A251,",2021-02-23,处理反馈
69,573810,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞导致油耗高,"A85,A114,H263,",2021-02-23,处理反馈
70,573809,广汽讴歌,讴歌TLX-L,2018款 2.4L 悦享版,广汽讴歌TLX-L变速箱挂D挡抖动异响,"A9,A24,I295,",2021-02-23,用户评分
71,573797,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾启动时发动机频繁异响,"A9,",2021-02-23,信息审核
72,573796,捷豹,捷豹XF,2015款 2.0T 80周年典藏豪华版,捷豹XF轮毂自动裂开 4S店不给更换,"H243,",2021-02-23,处理反馈
73,573794,大乘汽车,大乘G70S,2019款 2.0T 自动 尊贵型,大乘G70S没有4S店免费保养无法兑现,"O326,",2021-02-23,信息审核
74,573793,江淮汽车,瑞风M5,2019款 2.0T 双离合 公务版 汽油,江淮瑞风M5配件不全一直未到货影响维修,"N318,",2021-02-23,处理反馈
75,573792,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁4S店维修后中控仪表台异响,"H72,H93,J300,J299,",2021-02-23,处理反馈
76,573791,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机有严重烧机油的现象,"A63,",2021-02-23,处理反馈
77,573790,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越汽油泵故障发动机怠速不稳熄火,"A34,A44,A14,A35,H78,",2021-02-23,信息审核
78,573789,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞球笼套漏油扩大维修,"J300,J306,",2021-02-23,信息审核
79,573788,猎豹汽车,猎豹CS10,2016款 2.0T 自动 领先型,猎豹CS10出现助力转向油管漏油现象,"D58,",2021-02-23,信息审核
80,573787,江铃汽车,驭胜S350,2016款 2.4T 自动 两驱 柴油 豪华版 5座,江铃驭胜S350变速箱换挡时出现异响,"B33,",2021-02-23,信息审核
81,573786,东风雪铁龙,世嘉,2010款 1.6 自动 尚乐版,东风雪铁龙世嘉变速箱故障灯亮存在质量问题,"B96,",2021-02-23,用户评分
82,573784,郑州日产,途达,2020款 2.5L XL Upper 4WD 自动 四驱 豪华版,郑州日产途达刹车踏板出现异响,"E43,",2021-02-23,信息审核
83,573783,北京奔驰,奔驰E级,2017款 E 300 L 豪华型,北京奔驰E级轮毂开裂要求厂家解决,"H243,",2021-02-23,信息审核
84,573782,东风标致,标致408,2013款 2.0 手动 舒适版,东风标致408车内刺异味 刹车异响,"E43,H185,",2021-02-23,处理反馈
85,573781,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾4S店维修质量差 承诺未兑现,"J303,L314,",2021-02-23,处理反馈
86,573780,领克,领克01,2019款 2.0T 两驱 型Pro版 国V,领克01经销商保养时将车辆卡扣拆坏,"J300,",2021-02-23,处理反馈
87,573777,北京奔驰,奔驰GLA,2018款 200 动感型,北京奔驰GLA座椅多处脱皮希望厂家处理,"H169,",2021-02-23,信息审核
88,573774,东风风行,景逸X3,2015款 1.5L 豪华型,东风风行景逸X3减震器胶套脱落底盘异响,"G56,H168,",2021-02-23,处理反馈
89,573771,长安林肯,冒险家,2021款 2.0T 两驱 尊雅版,长安林肯冒险家发动机怠速运转时抖动,"A24,",2021-02-23,信息审核
90,573766,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机故障灯频繁报警,"A34,",2021-02-23,处理反馈
91,573763,郑州日产,锐骐6,2019款 2.5T 手动 两驱 标准型 柴油 ZD25T5,郑州日产锐骐6行驶时发动机拉瓦,"A328,",2021-02-23,信息审核
92,573762,东风日产,奇骏,2016款 2.0L CVT 智享版 4WD,东风日产奇骏变速箱电磁阀出现问题,"B19,B334,B84,",2021-02-23,信息审核
93,573759,一汽-大众奥迪,奥迪A6L新能源,2020款 55 TFSI e quattro,奥迪A6L新能源行驶时动力消失刹车失灵,"A255,E29,",2021-02-23,信息审核
94,573758,东风悦达起亚,凯绅,2019款 1.8L 自动 GLS,东风悦达起亚凯绅自动启停按键出现故障,"H263,",2021-02-23,信息审核
95,573757,华晨宝马,宝马5系新能源,2021款 535Le M运动套装,宝马5系新能源充满电后显示续航不达标,"H343,H344,",2021-02-23,信息审核
96,573752,北京汽车,威旺S50,2016款 1.5T 手动 乐动豪华型,北汽威旺S50车辆停放时出现自燃,"H40,",2021-02-23,厂家受理
97,573750,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L发动机怠速时有电流声,"A9,H164,",2021-02-23,信息审核
98,573747,东风悦达起亚,KX3傲跑,2015款 1.6T 自动 两驱DLX,东风悦达起亚KX3傲跑涡轮增压故障 烧机油,"A63,A189,",2021-02-22,信息审核
99,573746,东风乘用车,风神AX7,2016款 2.0L 手动 智逸型,东风风神AX7打转向卡顿异响严重,"D59,D123,",2021-02-22,处理反馈
100,573745,一汽-大众,宝来,2019款 改款 1.5L 自动 舒适型 国VI,一汽大众宝来电瓶亏电 车辆启动困难,"H146,",2021-02-22,处理反馈
101,573741,陆风汽车,陆风X7,2015款 2.0T 全景尊贵版,陆风X7变速箱顿挫 行驶时无法换挡,"B19,B20,",2021-02-22,信息审核
102,573738,长安福特,锐际,2020款 EcoBoost 245 四驱 纵享款 ST-LINE,长安福特锐际P挡踩刹车时排挡旋钮异响,"B184,",2021-02-22,处理反馈
103,573737,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8新车提车时电瓶亏电无法点火,"H146,L313,",2021-02-22,处理反馈
104,573736,长城汽车,哈弗大狗,2021款 1.5T DCT 边牧-旺财版,哈弗大狗4S店收取GPS和贷款服务费,"K307,",2021-02-22,信息审核
105,573735,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5转向机异响厂家无人回复,"D59,",2021-02-22,处理反馈
106,573728,一汽-大众,速腾,2021款 280TSI DSG 舒适智联版,一汽大众速腾机电单元故障行驶中无法加速,"B334,B84,",2021-02-22,处理反馈
107,573722,一汽-大众奥迪,奥迪A6L,2018款 50 TFSI 双离合 quattro 尊享型,一汽大众奥迪A6L变速箱顿挫 变速箱异响	,"B33,B19,",2021-02-22,信息审核
108,573721,吉利汽车,远景X6,2020款 1.4T CVT 亚运版,吉利远景X6安全气囊故障导致故障灯亮,"H103,",2021-02-22,信息审核
109,573720,雪铁龙（进口）,大C4毕加索,2015款 1.6T 豪华型 7座 Grand,进口雪铁龙大C4毕加索发动机抖动故障灯亮,"A24,A34,",2021-02-22,信息审核
110,573712,一汽-大众奥迪,奥迪Q5L,2018款 45 TFSI 尊享运动型 国V,一汽大众奥迪Q5L全轮驱动障碍报警,"H86,",2021-02-22,信息审核
111,573706,一汽丰田,卡罗拉,2014款 1.6L CVT GL,一汽丰田卡罗拉车门限位器生锈严重,"H79,",2021-02-22,厂家受理
112,573705,上汽大众,途岳,2021款 330TSI 四驱 豪华版 PLUS,上汽大众途岳变速箱漏油要求更换变速箱,"B22,N320,",2021-02-22,信息审核
113,573704,北汽威旺,黑豹小卡,H3自卸,北汽制造黑豹小卡发动机故障灯亮起,"A34,",2021-02-22,信息审核
114,573703,东风标致,标致308,2014款 乐享版 经典 1.6L 手动 风尚型,东风标致308发动机热车异响 报P0011故障码,"A9,A34,",2021-02-22,处理反馈
115,573699,吉利汽车,缤瑞,2019款 200T DCT 缤驰版,吉利缤瑞车机触摸失灵黑屏无法使用,"H134,",2021-02-22,处理反馈
116,573697,领克,领克05,2020款 2.0TD 四驱 劲Halo,领克05高速时方向盘震动希望厂家处理,"D80,",2021-02-22,处理反馈
117,573694,北京现代,索纳塔,2020款 380TGDi GS 自动 智享版,北京现代索纳塔发动机故障灯亮存在质量问题,"A34,",2021-02-22,信息审核
118,573689,MINI,MINI,2018款 2.0T COOPER S 经典派,MINI倍耐力右前轮鼓包 左前轮爆胎,"F39,F130,",2021-02-22,信息审核
119,573688,Jeep（进口）,牧马人,2019款 2.0T Rubicon 四门版 国VI,进口Jeep牧马人吃胎偏磨影响安全,"G245,",2021-02-22,厂家受理
120,573687,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度冷启动发动机异响希望处理,"A9,",2021-02-22,处理反馈
121,573685,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁变速箱与制动报警 加速无力,"A163,B96,E62,",2021-02-22,处理反馈
122,573683,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞曲轴油封与半轴防尘套漏油,"A12,G51,",2021-02-22,信息审核
123,573681,猎豹汽车,猎豹CS10,2016款 2.0T 自动 定制型,猎豹CS10行驶时变速箱故障无法加速,"B334,",2021-02-22,信息审核
124,573680,一汽丰田,RAV4荣放,2020款 双擎 2.5L CVT 四驱 精英PLUS版,一汽丰田RAV4荣放发动机机油增多,"A339,",2021-02-22,信息审核
125,573679,领克,领克05,2020款 2.0TD 四驱 劲Halo,领克05高速行驶时方向盘震动异常,"D80,",2021-02-22,处理反馈
126,573678,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度左后翼子板出现锈蚀,"H79,",2021-02-22,用户评分
127,573677,吉利汽车,缤越,2019款 260T DCT 游侠 运动款 国V,吉利缤越变速箱换挡异响厂家一直不解决,"B33,I295,",2021-02-22,处理反馈
128,573675,吉利汽车,豪越,2020款 1.8TD DCT 豪华型 5座,吉利豪越购车后不能异地做首保,"L314,",2021-02-22,处理反馈
129,573674,上汽通用五菱,乐驰,2008款 1.0L 手动 豪华型,宝骏乐驰维修后车轮定位不准 ABS故障报警,"E74,G225,I295,J300,",2021-02-22,处理反馈
130,573673,长城汽车,哈弗H2,2016款 1.5T 自动 两驱豪华型,哈弗H2减震器异响一直维修未解决,"A24,G52,",2021-02-22,处理反馈
131,573671,路虎进口,揽胜星脉,2020款 P250 R-DYNAMIC S,进口路虎揽胜星脉行驶时车内有低频噪音,"H164,",2021-02-22,处理反馈
132,573670,长城汽车,WEY VV5,2019款 2.0T 两驱 终结版,WEY VV5车辆后轮两个轮胎吃胎严重,"G245,",2021-02-22,信息审核
133,573668,长城汽车,哈弗H2,2016款 1.5T 手动 两驱豪华型,哈弗H2行驶时底盘出现严重异响,"G56,",2021-02-22,处理反馈
134,573661,一汽丰田,卡罗拉,2017款 1.2T CVT GL-i,一汽丰田卡罗拉上锁后警报器不定时响,"H119,H197,",2021-02-22,信息审核
135,573660,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌减震器漏油希望尽快处理,"G25,",2021-02-22,信息审核
136,573659,上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 舒适版 5座 改款,斯柯达柯迪亚克转向异响起步异响门把手异响,"B33,D59,H233,",2021-02-22,处理反馈
137,573656,上汽大众斯柯达,速派,2013款 1.4T DSG 名仕版,斯柯达速派车内异味一直非常严重,"H185,",2021-02-22,处理反馈
138,573655,保时捷,Macan,2018款 Macan 2.0T,保时捷Macan车灯开裂质保期不给保修,"H220,",2021-02-22,信息审核
139,573653,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯进水厂家不予索赔,"H88,I297,",2021-02-22,处理反馈
140,573652,东风本田,本田CR-V,2016款 2.0L 两驱 都市版,东风本田CR-V变速箱漏油希望尽快处理,"B22,",2021-02-22,处理反馈
141,573650,广汽丰田,凯美瑞,2009款 240G 自动 豪华版,广汽丰田凯美瑞仪表台老化粘手希望处理,"H176,",2021-02-22,信息审核
142,573649,东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂,"F100,F186,",2021-02-22,厂家受理
143,573648,一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙点火启动后出现异响,"A9,",2021-02-22,信息审核
144,573645,大众（进口）,途锐,2020款 2.0TSI 锐尚版 国VI,进口大众途锐实车配置与宣传不符,"M279,",2021-02-22,信息审核
145,573644,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁油箱加满后异响 悬挂异响,"G204,H147,",2021-02-22,信息审核
146,573643,雷克萨斯,雷克萨斯ES,2020款 200 卓越版,进口雷克萨斯ES挂D挡停车时异响严重,"A9,B33,",2021-02-22,厂家受理
147,573641,一汽-大众,速腾,2014款 1.4TSI 手动 豪华型 改款,一汽大众速腾车身稳定和ABS故障一直未解决,"E74,H170,",2021-02-22,处理反馈
148,573640,大众（进口）,蔚揽新能源,2019款 GTE,进口大众蔚揽新能源售后维修时间过长,"L312,",2021-02-22,信息审核
149,573638,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞两侧半轴防尘套漏油,"G161,",2021-02-22,信息审核
150,573637,长城汽车,风骏7,2019款 2.0T 柴油 两驱 超值型 国VI 大双 GW4D20M,长城风骏7发动机涡轮增压器损坏 不予质保,"A189,I297,",2021-02-22,处理反馈
151,573634,长安福特,探险者,2020款 EcoBoost 285 四驱 风尚版 7座,长安福特探险者转向机异响更换两次未解决,"D59,J298,",2021-02-22,用户评分
152,573633,广汽丰田,凯美瑞,2019款 改款 2.0G 豪华版,广汽丰田凯美瑞水箱划痕 行驶时异响,"A9,A191,B33,I294,J301,",2021-02-22,信息审核
153,573632,上汽大通,上汽大通MAXUS V90,2020款 2.0T 手动 运杰版 前驱 后单胎 长轴 高顶 7座,上汽大通MAXUS V90行驶时跑偏变速箱打齿,"A9,C65,G117,",2021-02-22,处理反馈
154,573626,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来冷车启动打转向时异响,"D59,",2021-02-22,处理反馈
155,573623,广汽讴歌,讴歌TLX-L,2018款 2.4L 尊享版,广汽讴歌TLX-L轮毂问题导致轮胎漏气,"H243,",2021-02-22,处理反馈
156,573620,宝马（进口）,宝马X4,2020款 xDrive25i M运动套装,进口宝马X4变速箱阀体损坏 制动故障灯亮,"B184,E62,",2021-02-22,信息审核
157,573618,吉利汽车,缤越,2020款 PRO 240T 手动 射手,吉利缤越经销商维修后忘记插上机油尺,"J304,",2021-02-22,信息审核
158,573615,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障,"B115,",2021-02-22,处理反馈
159,573612,吉利汽车,帝豪GL,2018款 1.8L 手动 精英智联型,吉利帝豪GL车门生锈异响严重希望处理,"H79,H72,",2021-02-22,处理反馈
160,573611,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度发动机熄火VTC执行器开裂,"A14,",2021-02-22,处理反馈
161,573606,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国V,一汽大众迈腾音响重低音时门板共振异响,"H134,H72,",2021-02-22,处理反馈
162,573603,上汽大众斯柯达,柯迪亚克,2017款 TSI330 两驱 豪华版 5座,斯柯达柯迪亚克变速箱紧急状态无法挂倒挡,"B20,B96,",2021-02-22,用户评分
163,573600,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾刹车盘异常磨损刹车时异响,"E43,E47,",2021-02-22,处理反馈
164,573596,一汽-大众,速腾,2015款 230TSI  自动 舒适型,一汽大众速腾轮速传感器故障导致故障灯亮,"H203,",2021-02-22,用户评分
165,573593,广汽丰田,汉兰达,2018款 2.0T 四驱 骑士版 7座 国VI,广汽丰田汉兰达车门胶条开裂 车顶有异响,"H15,H48,",2021-02-22,信息审核
166,573591,东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3方向管柱异响厂家拒绝更换,"D59,I297,",2021-02-22,处理反馈
167,573590,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾变速箱机电单元故障希望处理,"B115,",2021-02-22,处理反馈
168,573587,广汽三菱,欧蓝德,2019款 2.4L 四驱 致享版 7座 国VI,广汽三菱欧蓝德敲缸爆震升级两次未解决,"A9,A18,B69,J298,",2021-02-22,厂家受理
169,573586,北京奔驰,奔驰GLC,2017款 300 4MATIC 动感型,北京奔驰GLC空调一侧出冷风另一侧出热风,"H101,",2021-02-22,信息审核
170,573585,广汽本田,皓影,2020款 240TURBO CVT 两驱 尊贵版,广汽本田皓影4S店违约延期交车 加收费用,"K307,L311,",2021-02-22,处理反馈
171,573584,长安汽车,长安CS55,2018款 1.5T 手动 炫色型 国V,长安CS55经销商保养发动机内部油泥严重,"N317,",2021-02-22,处理反馈
172,573582,长安福特,福睿斯,2015款 1.5L 自动 时尚型,长安福特福睿斯冷凝器泄漏导致不制冷,"H101,",2021-02-22,处理反馈
173,573580,昌河铃木,北斗星,2015款 1.4L 全能升级型,昌河铃木北斗星车身及后翼子板生锈严重,"H79,",2021-02-22,厂家受理
174,573576,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408发动机电子水温传感器损坏,"A191,",2021-02-22,用户评分
